Q184384 | DOWNLOAD ERROR | ('Connection aborted.', ConnectionAbortedError(103, 'Software caused connection abort'))
Q4109497 | DOWNLOAD ERROR | 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/7/7b/Levitan_vesna_bolsh_voda.jpg
Q4109501 | DOWNLOAD ERROR | 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/7/77/Borisovmusatov_spring.JPG
Q4118041 | DOWNLOAD ERROR | 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/e/ee/Van_Gogh_-_Vase_mit_Pechnelken.jpeg
Q4126317 | DOWNLOAD ERROR | 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/f/fe/Khnopff_Memories.jpg
Q4127730 | DOWNLOAD ERROR | 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/9/90/1888._Nikolaj_Alexandrowitsch_Jaroschenko_008.jpg
Q102079617 | FILE WRITE ERROR | ("Connection broken: ConnectionAbortedError(103, 'Software caused connection abort')", ConnectionAbortedError(103, 'Software caused connection abort'))
Q10292509 | DOWNLOAD ERROR | 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/1/13/Silva_Porto-06.jpg
Q10317561 | DOWNLOAD ERROR | 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/f/f5/Amadeo_de_Souza-Cardoso-4.jpg
Q10320046 | DOWNLOAD ERROR | 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/4/47/Matisse_-_Dishes_and_Fruit_%281901%29.jpg
Q10324193 | DOWNLOAD ERROR | 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/e/ed/Columbano_Bordalo_Pinheiro_002.jpg
Q10325795 | DOWNLOAD ERROR | 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/4/49/Columbano_Bordalo_Pinheiro_006.jpg
Q10326430 | DOWNLOAD ERROR | 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/8/86/Claude_monet_-_marina_%28MCM-RJ%29_01.JPG
Q10333076 | DOWNLOAD ERROR | 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/e/e7/Pousao_mulher_da_agua-1.jpg
Q10337092 | DOWNLOAD ERROR | 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/0/00/Silva_Porto-04.jpg
Q10337096 | DOWNLOAD ERROR | 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/1/1c/Alfredo_Keil_02.jpg
Q10338740 | DOWNLOAD ERROR | 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/3/3e/Jos%C3%A9_Malhoa_-_O_Ateli%C3%AA_do_Artista.jpg
Q10339123 | DOWNLOAD ERROR | 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/0/01/Jose_malhoa_fado.jpg
Q10339315 | DOWNLOAD ERROR | 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/b/b9/%22O_Lavrador_de_Caf%C3%A9%22%2C_1939%2C_C%C3%A2ndido_Portinari._%28MASP%2C_S%C3%A3o_Paulo%2C_SP%2C_Brasil%29_%2818001978694%29_%28cropped%29.jpg
Q10342638 | DOWNLOAD ERROR | 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/e/e2/Jose_malhoa_outono.jpg
Q10343649 | DOWNLOAD ERROR | 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/e/e1/Pousao_st.sauves-1.jpg
Q10349893 | DOWNLOAD ERROR | 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/1/17/Amadeo_de_Souza-Cardoso-6.jpg
Q10349894 | DOWNLOAD ERROR | 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/d/d7/Cardoso10.jpg
Q10352766 | DOWNLOAD ERROR | 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/a/ad/Carlos_de_Bragan%C3%A7a_02.jpg
Q10357231 | DOWNLOAD ERROR | 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/7/75/Anders_Zorn_-_Drottning_Sophia_1909.jpg
Q10359991 | DOWNLOAD ERROR | 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/c/c9/Columbano_Bordalo_Pinheiro_001.jpg
Q10359994 | DOWNLOAD ERROR | 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/0/09/Amadeo_de_Souza-Cardoso-1.jpg
Q10359999 | DOWNLOAD ERROR | 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/0/04/Columbano_Bordalo_Pinheiro_008.jpg
Q12901476 | DOWNLOAD ERROR | 429 Client Error: Too many requests - please contact noc@wikimedia.org to discuss a less disruptive approach or instead use thumbnail images in sizes listed on https://w.wiki/GHai. (0c640b1) for url: https://upload.wikimedia.org/wikipedia/commons/5/52/John_Collier_-_Pharaohs_Handmaidens.jpg
Q13028669 | DOWNLOAD ERROR | HTTPSConnectionPool(host='upload.wikimedia.org', port=443): Max retries exceeded with url: /wikipedia/commons/2/24/Byelorussian_by_Repin.jpg (Caused by NewConnectionError("HTTPSConnection(host='upload.wikimedia.org', port=443): Failed to establish a new connection: [Errno 103] Software caused connection abort"))
Q13474878 | DOWNLOAD ERROR | HTTPSConnectionPool(host='commons.wikimedia.org', port=443): Read timed out. (read timeout=20)
Q101199694 | DOWNLOAD ERROR | ('Connection aborted.', ConnectionAbortedError(103, 'Software caused connection abort'))
